Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе 
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,752,964,22,На складе
Apache Kafka. Потоковая обработка и анализ данных,Нархид Ния и др.,Питер:Бестселлеры O`Reilly,1594,2043,22,На складе
Site Reliability Engineering. Надежность и безотказность как в Google,Бейер Бетси и др.,Питер:Бестселлеры O`Reilly,2179,2793,22,На складе
Akka в действии,Рестенбург Раймонд и др.,ДМК-Пресс,1419,2580,45,На складе
Искусство создания сценариев в Unity,Торн Алан,ДМК-Пресс,1135,2064,45,На складе
Основы работы с технологией CUDA,"Боресков Алексей Викторович, Харламов Александр Александрович",ДМК-Пресс,569,1035,45,На складе
WebGL. Программирование трехмерной графики,"Мацуда Коичи, Ли Роджер",ДМК-Пресс,1135,2064,45,На складе
Чистый Python. Тонкости программирования для профи,Бейдер Дэн,Питер:Библиотека программиста,1419,1819,22,На складе
Теория измеримых множеств и мультимножеств,Петровский Алексей Борисович,Наука,632,1149,45,На складе
Введение в распределенное моделирование в среде NetLogo,Ершов Николай Михайлович,ДМК-Пресс,1277,2321,45,Ограничено
"Искусственный интеллект .NET. Речь, язык и поиск","Патак Нишит, Бхандари Анураг",ДМК-Пресс,1135,2064,45,На складе
Элегантный SciPy,Нуньес-Иглесиас Хуан и др.,ДМК-Пресс,1348,2450,45,На складе
Стандартная библиотека Python 3. Справочник с примерами,Хеллман Даг,Диалектика,5672,10313,45,На складе
SQL для чайников,Тейлор Аллен Дж.,"Диалектика:Для ""чайников""",1856,3375,45,На складе
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,851,1547,45,На складе
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1277,2321,45,На складе
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,1419,2580,45,На складе
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер:Библиотека программиста,1144,1467,22,На складе
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,1845,3354,45,На складе
Разработка игр на Unreal Engine 4 за 24 часа,Куксон Арам и др.,Бомбора:Мировой компьютерный бестселлер,2135,2925,27,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,865,1572,45,На складе
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер:Библиотека программиста,1116,1431,22,На складе
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,431,783,45,На складе
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1348,2450,45,Ограничено
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер:Head First (O'Reilly),2419,3101,22,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1589,2889,45,На складе
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,255,464,45,Ограничено
Программирование в среде Delphi. Основные команды. Первые проекты,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,403,732,45,На складе
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,2837,5159,45,На складе
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс:Библиотека профессионала,1263,2297,45,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,274,498,45,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,431,784,45,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,180,327,45,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,431,784,45,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,607,1103,45,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,241,438,45,Ограничено
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,505,918,45,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,228,414,45,На складе
VHDL. Справочное пособие по основам языка,Бабак В. П. и др.,ДМК-Пресс:Программируемые системы,709,1289,45,На складе
Глубокое обучение в биологии и медицине,Рамсундар Бхарат и др.,ДМК-Пресс,993,1806,45,На складе
"Современный язык Java. Лямбда-выражения, потоки и функциональное программирование",Урма Рауль-Габриэль и др.,Питер:Для профессионалов,2103,2696,22,На складе
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,Немцова Тамара Игоревна и др.,Форум:Высшее образование: Бакалавриат,2410,4381,45,На складе
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань:Учебники для вузов. Специальная литература,2085,3791,45,Ограничено
Практика нейросетевого моделирования. Учебное пособие,"Хливненко Любовь Владимировна, Пятакович Феликс Андреевич",Лань:Учебники для вузов. Специальная литература,1368,2487,45,Ограничено
Python и анализ данных,Маккини Уэс,ДМК-Пресс,1915,3482,45,На складе
Алгоритмы эволюционной оптимизации,Саймон Дэн,ДМК-Пресс,2837,5159,45,На складе
"Прикладные задачи оптимизации. Модели, методы, алгоритмы",Струченков Валерий Иванович,Солон-пресс:Библиотека профессионала,640,1163,45,На складе
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР:Наука и практика,1854,3370,45,Ограничено
C#. Программирование 2D и 3D векторной графики (+CD),"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,1519,2762,45,Ограничено
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1102,2003,45,На складе
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань:Учебники для вузов. Специальная литература,1739,3162,45,На складе
C++ за 21 день,Рао Сиддхартха,Диалектика,3982,7240,45,На складе
Docker на практике,"Миллан Иан, Сейерс Эйдан Хобсон",ДМК-Пресс,1986,3611,45,Ограничено
Swift подробно,Чейрд Инт Вейн,ДМК-Пресс,2058,3742,45,На складе
Java. Справочник разработчика,"Эванс Бенджамин, Флэнаган Дэвид",Вильямс,3094,5625,45,На складе
Оптимизация программ на C++. Проверенные методы повышения производительности,Гантерот Курт,Диалектика,2852,5186,45,На складе
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,307,558,45,На складе
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,ДМК-Пресс,1560,2837,45,На складе
Основы тестирования и верификации программного обеспечения,Старолетов Сергей Михайлович,Лань:Учебники для вузов. Специальная литература,1912,3477,45,На складе
Изучаем Python. Том 1,Лутц Марк,Диалектика,3919,7125,45,На складе
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода,Фаулер Мартин,Вильямс,4641,8438,45,На складе
Язык программирования Python: практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Среднее профессиональное образование,1352,2458,45,На складе
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,"Чио Кларенс, Фримэн Дэвид",ДМК-Пресс,1348,2450,45,На складе
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,ДМК-Пресс,1277,2321,45,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Учебники для вузов. Специальная литература,1065,1936,45,Ограничено
"PHP: объекты, шаблоны и методики программирования",Зандстра Мэтт,Вильямс,2063,3750,45,На складе
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер:Библиотека программиста,1106,1418,22,На складе
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум:Среднее профессиональное образование,1340,2437,45,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,274,498,45,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,580,1055,45,На складе
Программирование. Сборник задач. Учебное пособие,Архипов Олег Григорьевич и др.,Лань:Учебники для вузов. Специальная литература,1043,1896,45,На складе
Python. Книга Рецептов,"Бизли Дэвид, Джонс Брайан К.",ДМК-Пресс,2270,4127,45,На складе
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи,Равичандиран Судхарсан,Питер:Библиотека программиста,1359,1742,22,На складе
C# 8 и .NET Core. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3169,4063,22,На складе
Разработка базы данных в Access. Учебное пособие,Волик Мария Владимировна,Прометей,295,537,45,На складе
Основы программирования на языке С. Учебное пособие,"Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна",ИНФРА-М:Высшее образование. Бакалавриат,1632,2967,45,На складе
Python. Быстрый старт,Чан Джейми,Питер:Библиотека программиста,931,1194,22,На складе
C++ для профи,Лоспинозо Джош,Питер:Для профессионалов,2989,3832,22,На складе
Интеллектуальные информационные системы и методы искусственного интеллекта,"Андрейчиков Александр Валентинович, Андрейчикова Ольга Николаевна",ИНФРА-М:Высшее образование. Магистратура,3230,5873,45,На складе
Современный скрапинг веб-сайтов с помощью Python,Митчелл Райан,Питер:Бестселлеры O`Reilly,2045,2622,22,На складе
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань:Компьютеры и программное обеспечение,1422,2585,45,На складе
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",Оукс Скотт,Питер:Бестселлеры O`Reilly,2974,3813,22,На складе
Веб-разработка с применением Node и Express. Полноценное использование стека JavaScript,Браун Итан,Питер:Бестселлеры O`Reilly,1888,2421,22,На складе
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes,"Индрасири Касун, Курупу Данеш",Питер:Бестселлеры O`Reilly,1572,2016,22,На складе
Python. Сборник упражнений,Стивенсон Бен,ДМК-Пресс,851,1547,45,На складе
Совершенный алгоритм. Алгоритмы для NP-трудных задач,Рафгарден Тим,Питер:Библиотека программиста,1731,2219,22,На складе
"Стильный Java. Код, который работает всегда и везде",Фаэлла Марко,Питер:Библиотека программиста,2228,2856,22,На складе
Внедрение зависимостей на платформе .NET,"Симан Марк, Дерсен Стивен Ван",Питер:Для профессионалов,2974,3813,22,На складе
Карьера программиста,Лакман Макдауэлл Гейл,Питер:Библиотека программиста,1949,2499,22,На складе
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер:Бестселлеры O`Reilly,2660,3410,22,На складе
Паттерны проектирования для C# и платформы .NET Core,"Арораа Гаурав, Чилберто Джеффри",Питер:Для профессионалов,3069,3934,22,На складе
Структуры и алгоритмы обработки данных. Учебник для СПО,"Павлов Леонид Александрович, Первова Наталия Викторовна",Лань:Компьютеры и программное обеспечение,876,1592,45,Ограничено
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,2685,4882,45,На складе
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань:Компьютеры и программное обеспечение,1613,2933,45,На складе
Изучаем C++ через программирование игр,Доусон Майкл,Питер,1000,1282,22,На складе
Совершенный софт. Совершенный софт - совершенная карьера,Леве Джувел,Питер:Для профессионалов,2030,2602,22,На складе
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,ДМК-Пресс,2412,4386,45,На складе
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,"Фоукс Линда, Спарроу Уоррен",ДМК-Пресс,1419,2580,45,На складе
Секреты Python Pro,Хиллард Дейн,Питер:Для профессионалов,2187,2804,22,На складе
Программирование на Python в примерах и задачах,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,1124,1540,27,На складе
Моделирование и оптимизация процессов управления в технологических системах. Учебник,"Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна",Кнорус:Магистратура,865,1572,45,На складе
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,1419,2580,45,На складе
JavaScript. Полное руководство,Флэнаган Дэвид,Вильямс,4278,7778,45,На складе
Проектирование информационных систем. Основы управления проектами. СПО,"Баллод Борис Анатольевич, Гвоздева Татьяна Вадимовна",Лань:Компьютеры и программное обеспечение,470,854,45,Ограничено
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,870,1582,45,Ограничено
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Симонова Елена Витальевна,Лань:Компьютеры и программное обеспечение,927,1686,45,Ограничено
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем","Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,1142,2077,45,На складе
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань:Компьютеры и программное обеспечение,1775,3228,45,На складе
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1102,2003,45,На складе
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,Кудинов Юрий Иванович и др.,Лань:Компьютеры и программное обеспечение,1613,2933,45,На складе
Мультимедийные технологии. Учебник для СПО,Катунин Геннадий Павлович,Лань:Компьютеры и программное обеспечение,2434,4425,45,Ограничено
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер:Библиотека программиста,1810,2321,22,На складе
Система модулей Java,Парлог Николай,Питер:Для профессионалов,2345,3006,22,На складе
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер:Для профессионалов,5005,6417,22,На складе
Принципы юнит-тестирования,Хориков Владимир,Питер:Для профессионалов,1283,1645,22,На складе
Простой Python. Современный стиль программирования,Любанович Билл,Питер:Бестселлеры O`Reilly,1872,2400,22,На складе
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,1135,2064,45,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1348,2450,45,На складе
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань:Компьютеры и программное обеспечение,809,1470,45,На складе
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань:Компьютеры и программное обеспечение,424,770,45,На складе
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько Александр Федорович, Иванько Михаил Александрович",Лань:Компьютеры и программное обеспечение,525,955,45,На складе
Распределенные системы,"Таненбаум Эндрю, Стин ван Мартен",ДМК-Пресс,2128,3869,45,На складе
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python,Гуриков Сергей Ростиславович,Форум:Высшее образование: Бакалавриат,2720,4945,45,На складе
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,2039,2614,22,На складе
Алгебра и геометрия с примерами на Python. Учебное пособие,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань:Компьютеры и программное обеспечение,3115,5663,45,На складе
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,985,1791,45,Ограничено
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,1277,2322,45,Ограничено
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,2159,3926,45,На складе
Hello World! Программирование для детей и взрослых,"Сэнд Уоррен, Сэнд Картер",ДМК-Пресс,1277,2321,45,На складе
Методология создания информационных систем. Учебное пособие,"Карминский Александр Маркович, Черников Борис Васильевич",ИНФРА-М:Среднее профессиональное образование,1640,2981,45,На складе
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Среднее профессиональное образование,1668,3033,45,На складе
Время UNIX. A History and a Memoir,Керниган Брайан,Питер:Библиотека программиста,1220,1564,22,На складе
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань:Компьютеры и программное обеспечение,1692,3076,45,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1100,2000,45,На складе
Язык декларативного программирования XAML,Подбельский Вадим Валерьевич,ДМК-Пресс,1064,1934,45,Ограничено
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1182,2149,45,На складе
Облачные технологии поддержки решения задач анализа безубыточности. Монография,Смирнов Денис Евгеньевич,Прометей,328,596,45,Ограничено
Программист-фанатик,Фаулер Чед,Питер:Библиотека программиста,687,881,22,На складе
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов,Прайс Марк Дж.,Питер:Библиотека программиста,2025,2596,22,На складе
Компьютерные вирусы и антивирусы: взгляд программиста,Климентьев Константин Евгеньевич,ДМК-Пресс:Профессиональное программирование,1135,2064,45,На складе
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Учебники для вузов. Специальная литература,760,1381,45,На складе
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,1124,1540,27,На складе
Алгоритмы для чайников,"Массарон Лука, Мюллер Джон Пол","Диалектика:Для ""чайников""",1712,3112,45,На складе
Хакинг. Искусство эксплойта,Эриксон Джон,Питер,1810,2321,22,На складе
Глубокое обучение на Python,Шолле Франсуа,Питер:Библиотека программиста,1560,2000,22,На складе
Java SE 9. Базовый курс,Хорстманн Кей С.,Диалектика,3919,7125,45,На складе
LabVIEW в научных исследованиях,Евдокимов Юрий Кириллович и др.,ДМК-Пресс:Все о LabVIEW,1064,1934,45,На складе
Python. Разработка на основе тестирования,Персиваль Гарри,ДМК-Пресс,2128,3869,45,На складе
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,824,1056,22,На складе
Разработка одностраничных веб-приложений,"Миковски Майкл С., Пауэлл Джош К.",ДМК-Пресс,1135,2064,45,На складе
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер:Библиотека программиста,821,1053,22,На складе
Программирование искусственного интеллекта в приложениях,Джонс М. Тим,ДМК-Пресс:Для программистов,709,1289,45,На складе
Программирование на Ардуино. От простого к сложному,Мамичев Дмитрий Иванович,Солон-пресс:Радиоэлектроника,586,1066,45,На складе
Запускаем Ansible,"Хохштейн Лорин, Мозер Рене",ДМК-Пресс,1419,2580,45,На складе
Современный Java. Рецепты программирования,Коузен Кен,ДМК-Пресс,1135,2064,45,На складе
Сам себе программист. Как научиться программировать и устроиться в Ebay?,Альтхофф Кори,Бомбора:Мировой компьютерный бестселлер,734,1006,27,На складе
"Программное обеспечение геодезии, фотограм, кадастра, инж.из.",Браверман Борис Аронович,Инфра-Инженерия,792,1440,45,На складе
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,ДМК-Пресс,1064,1934,45,На складе
Java. Карманный справочник,"Лигуори Роберт, Лигуори Патрисия",Вильямс,1426,2592,45,На складе
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер:Библиотека программиста,1023,1311,22,На складе
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс:Программирование,619,1125,45,На складе
Простой учебник программирования,Гаско Рик,Солон-пресс:Программирование,696,1266,45,На складе
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1249,1601,22,Ограничено
Потоковая обработка данных. Конвейер реального времени,Пселтис Эндрю Дж.,ДМК-Пресс,1064,1934,45,На складе
Java для чайников,Берд Барри,"Диалектика:Для ""чайников""",2372,4313,45,На складе
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер:Библиотека программиста,1401,1796,22,На складе
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер:Бестселлеры O`Reilly,2716,3482,22,На складе
Глубокое обучение с точки зрения практика,"Паттерсон Джош, Гибсон Адам",ДМК-Пресс,1845,3354,45,На складе
Думай как программист. Креативный подход к созданию кода. C++ версия,Спрол Антон,Бомбора:Мировой компьютерный бестселлер,777,1064,27,На складе
Релевантный поиск с использованием Elasticsearch и Solr,"Тарнбулл Даг, Берримен Джон",ДМК-Пресс,1277,2321,45,На складе
Программирование на языке Rust. Цветное издание,"Блэнди Джим, Орендорф Джейсон",ДМК-Пресс,2128,3869,45,На складе
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора:Мировой компьютерный бестселлер,1219,1670,27,На складе
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1348,2450,45,На складе
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,3982,7240,45,На складе
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Вильямс,7590,13800,45,На складе
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,194,352,45,На складе
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1135,2064,45,На складе
Глубокое обучение (цветная),Бенджио Иошуа и др.,ДМК-Пресс,2837,5159,45,На складе
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань:Учебники для вузов. Специальная литература,2002,3640,45,На складе
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,1901,3456,45,На складе
Разработка операционной системы и компилятора. Проект Оберон,"Вирт Никлаус, Гуткнехт Юрг",ДМК-Пресс:Классика программирования,1135,2064,45,На складе
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс:Программируемые системы,993,1806,45,На складе
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",Ховард Майкл и др.,ДМК-Пресс,709,1289,45,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,2274,2915,22,На складе
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,779,1417,45,На складе
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс:Программирование,1419,2580,45,Ограничено
Kotlin в действии,"Жемеров Дмитрий Борисович, Исакова Светлана Сергеевна",ДМК-Пресс,1277,2321,45,На складе
Конкурентное программирование на Scala,Прокопец Александр,ДМК-Пресс,1206,2192,45,На складе
Крупномасштабное машинное обучение вместе с Python,Шарден Бастиан и др.,ДМК-Пресс,1135,2064,45,На складе
Программирование на Clojure,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,1702,3095,45,На складе
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,"Албахари Джозеф, Албахари Бен",Вильямс,1258,2288,45,Ограничено
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID,Холл Гэри Маклин,Вильямс,3094,5625,45,На складе
Секреты JavaScript ниндзя,Резиг Джон и др.,Вильямс,3982,7240,45,На складе
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2,Горелов Сергей Витальевич,Прометей,927,1685,45,На складе
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,2412,4386,45,На складе
GraphQL. Язык запросов для современных веб-приложений,"Бэнкс Алекс, Порселло Ева",Питер,1043,1337,22,Ограничено
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM,Эванс Бенджамин и др.,Диалектика,3919,7125,45,Ограничено
CSS. Полный справочник. Визуальное форматирование веб-страниц,"Мейер Эрик, Уэйл Эстель",Диалектика,5553,10097,45,На складе
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер:Библиотека программиста,1372,1759,22,На складе
Базовые средства программирования на Visual Basic в среде VisualStudio Net. Практикум. Учебное пособ,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,1554,2826,45,Ограничено
Алгоритмизация и программирование. Практикум. Учебное пособие,Андрианова Анастасия Александровна и др.,Лань:Учебники для вузов. Специальная литература,1263,2297,45,На складе
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань:Учебники для вузов. Специальная литература,985,1791,45,На складе
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс:Библиотека студента,596,1083,45,На складе
Алгоритмические трюки для программистов,Уоррен Генри С.,Диалектика,3094,5625,45,На складе
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер:Для профессионалов,2957,3791,22,На складе
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,1631,2966,45,На складе
