Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Istio. Приступаем к работе,"Калькот Ли, Бутчер Зак",ДМК-Пресс,1419,2580,45,На складе
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям,Граймс Роджер А.,ДМК-Пресс,1277,2321,45,На складе
Проектирование веб-API,Лоре Арно,ДМК-Пресс,1419,2580,45,На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1254,1718,27,На складе
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту,Крон Джон и др.,Питер:Библиотека программиста,1558,1998,22,На складе
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер:Для профессионалов,2469,3166,22,На складе
Spring Boot 2. Лучшие практики для профессионалов,Гутьеррес Фелипе,Питер:Библиотека программиста,2495,3199,22,На складе
"Python. Искусственный интеллект, большие данные и облачные вычисления","Дейтел Пол Дж., Дейтел Харви",Питер:Для профессионалов,3146,4033,22,На складе
Эволюционные нейросети на языке Python,Омельяненко Ярослав,ДМК-Пресс,1419,2580,45,На складе
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,ДМК-Пресс,1419,2580,45,На складе
Цифровой синтез. Практический курс,Романов А. Ю. и др.,ДМК-Пресс,1986,3611,45,На складе
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань:Учебники для вузов. Специальная литература,844,1535,45,На складе
Криптография и взлом шифров на Python,Свейгарт Эл,Диалектика,2187,3976,45,На складе
Машинное обучение. Карманный справочник. Краткое руководство по методам структурированного машинного,Харрисон Мэтт,Диалектика,1141,2075,45,Ограничено
Программист-прагматик,"Томас Дэвид, Хант Эндрю",Диалектика,3094,5625,45,На складе
Учимся программировать с примерами на Python,Фримен Эрик,Диалектика:Head First,2852,5186,45,На складе
Параллельное программирование на C++ с помощью библиотеки TBB,Восс Майкл и др.,ДМК-Пресс,2128,3869,45,На складе
Предметно-ориентированное проектирование в Enterprise Java,Наир Виджей,ДМК-Пресс,1419,2580,45,На складе
Генеративное глубокое обучение. Творческий потенциал нейронных сетей,Фостер Дэвид,Питер:Бестселлеры O`Reilly,2086,2674,22,На складе
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel,"Феррари Альберто, Руссо Марко",ДМК-Пресс,1490,2709,45,На складе
Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,ДМК-Пресс,1702,3095,45,На складе
Программирование на Python. Базовый курс,Седжвик Роберт и др.,Вильямс,2372,4313,45,На складе
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android,"Льюис Шон, Данн Майк",ДМК-Пресс,1419,2580,45,На складе
Паттерны объектно-ориентированного проектирования,Гамма Э. и др.,Питер:Библиотека программиста,943,1209,22,На складе
Курс программирования на языке Си. Учебник,"Подбельский Вадим Валерьевич, Фомин Сергей Сергеевич",ДМК-Пресс,851,1547,45,На складе
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс:Библиотека профессионала,881,1601,45,На складе
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер:Классика computer science,1888,2421,22,На складе
Язык программирования C++. Базовый курс,Липпман Стенли Б. и др.,Вильямс,5466,9938,45,На складе
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,ДМК-Пресс,1135,2064,45,На складе
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,Вильямс,6072,11040,45,На складе
Создаем нейронную сеть,Рашид Тарик,Вильямс,3094,5625,45,На складе
Библиотека Keras - инструмент глубокого обучения,"Джулли Антонио, Пал Суджит",ДМК-Пресс,1277,2321,45,На складе
Визуализация данных с помощью библиотеки D3.js 4.x,"Рининсланд Эндрю, Свизек Теллер",ДМК-Пресс,993,1806,45,На складе
Шаблоны корпоративных приложений,Фаулер Мартин,Диалектика: ,4278,7778,45,На складе
Raspberry Pi. Сборник рецептов. Решение программных и аппаратных задач,Монк Саймон,Диалектика,2852,5186,45,Ограничено
JavaScript в примерах и задачах,,Эксмо-Пресс:Российский компьютерный бестселлер,1062,1455,27,На складе
Visual C# 2.0.NET. Полное руководство,"Прайс Дебора, Гандэрлой Майк",Корона-Принт: ,551,1001,45,На складе
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем,Эванс Эрик,Вильямс,6072,11040,45,На складе
Язык программирования C++. Лекции и упражнения,Прата Стивен,Диалектика,5702,10368,45,На складе
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика:Для ""чайников""",1782,3240,45,На складе
"Программирование командных оболочек в Unix, Linux и OS X","Кочан Стефан, Вуд Патрик",Диалектика,2852,5186,45,На складе
Рефакторинг. Улучшение проекта существующего кода,Бек Кент и др.,Диалектика,3919,7125,45,На складе
Изучаем программирование на Python,Бэрри Пол,Эксмо:Мировой компьютерный бестселлер,1590,2178,27,На складе
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,993,1806,45,На складе
Математическое программирование. Учебное пособие,Карманов Владимир Георгиевич,Физматлит,431,783,45,Ограничено
jQuery в действии,Бибо Беэр и др.,Питер:Для профессионалов,1297,1663,22,На складе
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,1206,2192,45,На складе
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,2377,4322,45,На складе
